uuid,patch_status,patch_notes,payload,distance_meters,suggested_address,ai_status,ai_best_view,ai_confidence,ai_notes,default_streetview_url,search_streetview_url,source
b41ce36f-81ca-4710-aec7-da6df8222251,dry_run,"address '269 W 35th St, 7th, 10th, and 11th Floors' -> '269 W 35th St, 7th, 10th, And 11th Floors'","{""address"": {""street"": ""269 W 35th St, 7th, 10th, And 11th Floors"", ""city"": ""New York"", ""state"": ""NY"", ""postalCode"": ""10001"", ""country"": ""US""}}",3.288394709259496,,streetview_default_error:Street View metadata status REQUEST_DENIED,,,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=40.75289595172927,-73.99251769359684",,missingstreetview
efa2eeba-bffe-4e51-afc4-8674ca5b2e1d,dry_run,city 'BRONX' -> 'Bronx' | address '286 East 156th Street' -> '286 E 156th St',"{""address"": {""street"": ""286 E 156th St"", ""city"": ""Bronx"", ""state"": ""NY"", ""postalCode"": ""10451"", ""country"": ""US""}}",18.5325693608602,,streetview_default_error:Street View metadata status REQUEST_DENIED,,,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=40.82186246,-73.92043180091076",,missingstreetview
c5f91b44-3cca-4967-a1b5-7ba8fd7257b2,dry_run,address '2705 Campus Road' -> '2705 Campus Rd',"{""address"": {""street"": ""2705 Campus Rd"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""postalCode"": ""11210"", ""country"": ""US""}}",10.0197912395914,,streetview_default_error:Street View metadata status REQUEST_DENIED,,,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=40.632691585084736,-73.9504852517706",,missingstreetview
7e29ee8c-d108-4a98-93e5-57c1b691f09d,dry_run,city 'STATEN ISLAND' -> 'Staten Island' | address '84 Fulton Street' -> '84 Fulton St',"{""address"": {""street"": ""84 Fulton St"", ""city"": ""Staten Island"", ""state"": ""NY"", ""postalCode"": ""10304"", ""country"": ""US""}}",27.643666828723177,,streetview_default_error:Street View metadata status REQUEST_DENIED,,,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=40.62118736812898,-74.08184899999999",,missingstreetview
b41ce36f-81ca-4710-aec7-da6df8222251,dry_run,"address '269 W 35th St, 7th, 10th, and 11th Floors' -> '269 W 35th St, 7th, 10th, And 11th Floors'","{""address"": {""street"": ""269 W 35th St, 7th, 10th, And 11th Floors"", ""city"": ""New York"", ""state"": ""NY"", ""postalCode"": ""10001"", ""country"": ""US""}}",3.288394709259496,,streetview_default_error:Street View metadata status REQUEST_DENIED: This API project is not authorized to use this API.,,,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=40.75289595172927,-73.99251769359684",,missingstreetview
efa2eeba-bffe-4e51-afc4-8674ca5b2e1d,dry_run,city 'BRONX' -> 'Bronx' | address '286 East 156th Street' -> '286 E 156th St',"{""address"": {""street"": ""286 E 156th St"", ""city"": ""Bronx"", ""state"": ""NY"", ""postalCode"": ""10451"", ""country"": ""US""}}",18.5325693608602,,streetview_default_error:Street View metadata status REQUEST_DENIED: This API project is not authorized to use this API.,,,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=40.82186246,-73.92043180091076",,missingstreetview
c5f91b44-3cca-4967-a1b5-7ba8fd7257b2,dry_run,address '2705 Campus Road' -> '2705 Campus Rd',"{""address"": {""street"": ""2705 Campus Rd"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""postalCode"": ""11210"", ""country"": ""US""}}",10.0197912395914,,streetview_default_error:Street View metadata status REQUEST_DENIED: This API project is not authorized to use this API.,,,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=40.632691585084736,-73.9504852517706",,missingstreetview
b41ce36f-81ca-4710-aec7-da6df8222251,dry_run,"address '269 W 35th St, 7th, 10th, and 11th Floors' -> '269 W 35th St, 7th, 10th, And 11th Floors'","{""address"": {""street"": ""269 W 35th St, 7th, 10th, And 11th Floors"", ""city"": ""New York"", ""state"": ""NY"", ""postalCode"": ""10001"", ""country"": ""US""}}",3.288394709259496,,streetview_default_error:Street View metadata status REQUEST_DENIED: This API project is not authorized to use this API.,,,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=40.75289595172927,-73.99251769359684",,missingstreetview
efa2eeba-bffe-4e51-afc4-8674ca5b2e1d,dry_run,city 'BRONX' -> 'Bronx' | address '286 East 156th Street' -> '286 E 156th St',"{""address"": {""street"": ""286 E 156th St"", ""city"": ""Bronx"", ""state"": ""NY"", ""postalCode"": ""10451"", ""country"": ""US""}}",18.5325693608602,,streetview_default_error:Street View metadata status REQUEST_DENIED: This API project is not authorized to use this API.,,,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=40.82186246,-73.92043180091076",,missingstreetview
b41ce36f-81ca-4710-aec7-da6df8222251,dry_run,"address '269 W 35th St, 7th, 10th, and 11th Floors' -> '269 W 35th St, 7th, 10th, And 11th Floors'","{""address"": {""street"": ""269 W 35th St, 7th, 10th, And 11th Floors"", ""city"": ""New York"", ""state"": ""NY"", ""postalCode"": ""10001"", ""country"": ""US""}}",3.288394709259496,,streetview_default_error:Street View metadata status REQUEST_DENIED: This API project is not authorized to use this API.,,,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=40.75289595172927,-73.99251769359684",,missingstreetview
